открыто вкладок за день;;"[10; 150]";;;;;"Частота использования функции ""перезагрузить вкладку"" за день";;2;30;1000;;;;;;;;;;;;;
закрыто  вкладок за день;;"[10; 130]";;;;;;;;;;;;;;;;;;;;;;
время среднего сеанса работы с приложением в минутах ;;"[90; 360]";;;;;;;;;;;;;;;;;;;;;;
максимальное количество активных вкладок в приложении;;"[50; 100]";;;;;;;;;;;;;;;;;;;;;;
"Частота использования функции ""перезагрузить вкладку"" за день";;"[10; 130]";;;;;пользователь 2;признак;Период;НЗ;ВГ;;;пользователь 2;;;;;;;;;;
закрывал ли пользователь вкладки в течение сеанса;;[да];;;;;;;;;;;;;;;;;;;;;;
перезапускал ли пользователь приложение;;[нет];;;;;открыто вкладок за день;;1;25;1000;;;;открыто вкладок за день;1;975;3;;;;;;
;;;;;;;закрыто  вкладок за день;;1;25;600;;;;закрыто  вкладок за день;1;575;2;;;;;;
;;;;;;;время среднего сеанса работы с приложением в минутах ;;1;110;1000;;;;время среднего сеанса работы с приложением в минутах ;1;890;2;;;;;;
;;;;;;;максимальное количество активных вкладок в приложении;;1;65;1000;;;;максимальное количество активных вкладок в приложении;1;935;3;;;;;;
Результаты наблюдений;;;;;;;"Частота использования функции ""перезагрузить вкладку"" за день";;1;25;1000;;;;"Частота использования функции ""перезагрузить вкладку"" за день";1;975;1;;;;;;
пользователь 1;;открыто вкладок за день;2;"[20; 150]";"[30; 160]";;;;;;;;;;;;;;;;;;;
;;закрыто  вкладок за день;2;"[20; 130]";"[30; 150]";;открыто вкладок за день;;2;35;1000;;;;;;;;;;;;;
;;время среднего сеанса работы с приложением в минутах ;2;"[100; 360]";"[110; 390]";;закрыто  вкладок за день;;2;32;1000;;;;открыто вкладок за день;1;968;3;;;;;;
;;максимальное количество активных вкладок в приложении;2;"[60; 100]";"[70; 110]";;время среднего сеанса работы с приложением в минутах ;;2;111;600;;;;закрыто  вкладок за день;1;489;1;;;;;;
;;"Частота использования функции ""перезагрузить вкладку"" за день";2;"[20; 130]";"[30; 140]";;максимальное количество активных вкладок в приложении;;2;80;1000;;;;время среднего сеанса работы с приложением в минутах ;2;920;2;;;;;;
;;закрывал ли пользователь вкладки в течение сеанса;1;[да];[нет];;"Частота использования функции ""перезагрузить вкладку"" за день";;2;35;1000;;;;максимальное количество активных вкладок в приложении;1;965;2;;;;;;
;;перезапускал ли пользователь приложение;2;[нет];[да];;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
пользователь 2;;открыто вкладок за день;2;"[25; 157]";"[35; 169]";;;;;;;;;;;;;;;;;;;
;;закрыто  вкладок за день;2;"[25; 137]";"[32; 155]";;;;;;;;;;;;;;;;;;;
;;время среднего сеанса работы с приложением в минутах ;2;"[110; 367]";"[111; 393]";;;;;;;;;;;;;;;;;;;
;;максимальное количество активных вкладок в приложении;2;"[65; 123]";"[80; 118]";;;;;;;;;;;;;;;;;;;
;;"Частота использования функции ""перезагрузить вкладку"" за день";2;"[25; 137]";"[35; 167]";;;;;;;;;;;;;;;;;;;
;;закрывал ли пользователь вкладки в течение сеанса;1;[да];[нет];;;;;;;;;;;;;;;;;;;
;;перезапускал ли пользователь приложение;2;[нет];[да];;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
